"filename", "language", "(Unsupported)", "CMake", "comment", "blank", "total"
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/machdep.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mail.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mail.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/main.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/main.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/memalloc.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/memalloc.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/miscbltin.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/miscbltin.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mkbuiltins", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mkinit.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mknodes.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mksyntax.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mktokens", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/myhistedit.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mystring.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/mystring.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/nodes.c.pat", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/nodetypes", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/options.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/options.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/output.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/output.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/parser.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/parser.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/redir.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/redir.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/sh.1", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/shell.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/show.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/show.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/system.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/system.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/trap.c", "(Unsupported)", 0, 0, 0, 0, 0
